time;x;y;z
1637978253.833499;+0.001;-0.002;-0.002
1637978254.053559;+0.004;-0.002;-0.002
1637978254.27359;+0.003;-0.001;-0.001
1637978254.493492;+0.003;-0.003;-0.002
1637978254.712576;+0.002;-0.002;-0.002
1637978254.93246;+0.002;-0.002;-0.002
1637978255.152545;+0.003;-0.002;-0.003
1637978255.372469;+0.003;-0.002;-0.001
1637978255.59262;+0.002;-0.003;-0.002
1637978255.812513;+0.002;-0.002;-0.002
1637978256.032667;+0.003;-0.001;-0.002
1637978256.252515;+0.002;-0.002;-0.002
1637978256.472166;+0.002;-0.001;-0.002
1637978256.692521;+0.003;-0.001;-0.002
1637978256.912475;+0.003;-0.001;-0.001
1637978257.132577;+0.002;-0.002;-0.001
1637978257.352648;+0.003;-0.003;-0.002
1637978257.572589;+0.002;-0.003;-0.002
1637978257.792641;+0.002;-0.001;-0.001
1637978258.012583;+0.003;-0.002;-0.001
1637978258.232717;+0.002;-0.003;-0.002
1637978258.45252;+0.002;-0.001;-0.002
1637978258.672641;+0.002;-0.002;-0.002
1637978258.892538;+0.002;-0.001;-0.002
1637978259.112548;+0.003;-0.002;-0.002
1637978259.332541;+0.002;-0.001;-0.001
1637978259.552512;+0.003;-0.002;-0.001
1637978259.772161;+0.003;-0.002;-0.002
1637978259.992405;+0.003;-0.001;-0.002
1637978260.212481;+0.002;-0.002;-0.002
1637978260.432598;+0.002;-0.002;-0.002
1637978260.652574;+0.002;-0.002;-0.002
1637978260.872518;+0.002;-0.002;-0.002
1637978261.092507;+0.003;-0.001;-0.002
1637978261.312557;+0.003;-0.001;-0.002
1637978261.532566;+0.001;-0.001;-0.002
1637978261.752485;+0.002;-0.002;-0.002
1637978261.972548;+0.003;-0.002;-0.002
1637978262.191495;+0.002;-0.002;-0.002
1637978262.411546;+0.001;-0.002;-0.001
1637978262.631518;+0.003;-0.001;-0.002
1637978262.85113;+0.002;-0.001;-0.002
1637978263.06144;+0.003;-0.002;-0.001
1637978263.281823;+0.002;-0.001;-0.002
1637978263.501543;+0.003;-0.002;-0.002
1637978263.721509;+0.002;-0.002;-0.002
1637978263.941443;+0.002;-0.002;-0.002
1637978264.161488;+0.003;-0.002;-0.002
1637978264.381389;+0.003;-0.002;-0.001
1637978264.601535;+0.002;-0.002;-0.002
1637978264.82105;+0.003;-0.002;-0.002
1637978265.031115;+0.003;-0.002;-0.003
1637978265.241394;+0.003;-0.002;-0.001
1637978265.46156;+0.003;-0.002;-0.002
1637978265.68164;+0.002;-0.001;-0.002
1637978265.901478;+0.002;-0.001;-0.001
1637978266.121473;+0.002;-0.002;-0.001
1637978266.341203;+0.001;-0.001;-0.002
1637978266.561153;+0.002;-0.001;-0.002
1637978266.781353;+0.002;-0.002;-0.002
1637978267.000835;+0.003;-0.001;-0.002
1637978267.211428;+0.002;-0.002;-0.002
1637978267.431412;+0.002;-0.001;-0.002
1637978267.651553;+0.003;-0.003;-0.002
1637978267.871548;+0.002;-0.002;-0.002
1637978268.091486;+0.002;-0.002;-0.002
1637978268.311443;+0.003;-0.001;-0.002
1637978268.53146;+0.002;-0.002;-0.002
1637978268.751824;+0.002;-0.001;-0.003
1637978268.971545;+0.002;-0.001;-0.003
1637978269.191485;+0.003;-0.002;-0.002
1637978269.411427;+0.002;-0.002;-0.002
1637978269.630531;+0.002;-0.003;-0.003
1637978269.850447;+0.001;-0.001;-0.002
1637978270.070478;+0.002;-0.001;-0.002
1637978270.290458;+0.002;-0.001;-0.002
1637978270.510415;+0.002;-0.002;-0.002
1637978270.730135;+0.002;-0.002;-0.001
1637978270.940017;+0.002;-0.002;-0.002
1637978271.150535;+0.003;-0.002;-0.001
1637978271.370459;+0.002;-0.001;-0.002
1637978271.590447;+0.002;-0.001;-0.001
1637978271.81045;+0.003;-0.002;-0.001
1637978272.030431;+0.002;-0.001;-0.001
1637978272.250594;+0.001;-0.002;-0.001
1637978272.470586;+0.002;-0.002;-0.002
1637978272.690556;+0.003;-0.002;-0.002
1637978272.910444;+0.002;-0.002;-0.001
1637978273.130447;+0.003;-0.001;-0.002
1637978273.350534;+0.002;-0.001;-0.002
1637978273.570371;+0.002;-0.002;-0.002
1637978273.790471;+0.002;-0.001;-0.002
1637978274.010378;+0.004;-0.002;-0.002
1637978274.230379;+0.002;-0.001;-0.001
1637978274.450935;+0.003;-0.001;-0.001
1637978274.670474;+0.002;-0.002;-0.001
1637978274.890546;+0.002;-0.002;-0.002
1637978275.110404;+0.002;-0.001;-0.002
1637978275.330427;+0.002;-0.002;-0.002
1637978275.550418;+0.002;-0.002;-0.002
1637978275.770545;+0.003;-0.003;-0.002
1637978275.990422;+0.003;-0.001;-0.002
1637978276.210449;+0.003;-0.002;-0.002
1637978276.430378;+0.002;-0.002;-0.001
1637978276.650417;+0.002;-0.002;-0.002
1637978276.870164;+0.003;-0.002;-0.001
1637978277.089169;+0.003;-0.002;-0.001
1637978277.309436;+0.002;-0.002;-0.002
1637978277.529125;+0.003;-0.003;-0.003
1637978277.739572;+0.002;-0.002;-0.002
1637978277.959421;+0.003;-0.001;-0.002
1637978278.179406;+0.003;-0.002;-0.002
1637978278.399571;+0.002;-0.001;-0.003
1637978278.619414;+0.001;-0.002;-0.001
1637978278.839544;+0.002;-0.001;-0.001
1637978279.059057;+0.003;-0.002;-0.002
1637978279.269403;+0.003;-0.001;-0.002
1637978279.489451;+0.002;-0.001;-0.002
1637978279.70946;+0.002;-0.002;-0.003
1637978279.929435;+0.002;-0.002;-0.001
1637978280.14954;+0.002;-0.003;-0.001
1637978280.369383;+0.002;-0.001;-0.002
1637978280.589451;+0.001;-0.001;-0.002
1637978280.809516;+0.003;-0.002;-0.001
1637978281.029405;+0.003;-0.002;-0.001
1637978281.249501;+0.002;-0.003;-0.002
1637978281.469458;+0.002;-0.002;-0.002
1637978281.689356;+0.003;-0.001;-0.002
1637978281.909512;+0.002;-0.002;-0.001
1637978282.129382;+0.002;-0.001;-0.002
1637978282.349375;+0.003;-0.001;-0.002
1637978282.56937;+0.002;-0.001;-0.002
1637978282.789574;+0.003;-0.002;-0.002
1637978283.009345;+0.001;-0.002;-0.002
1637978283.229371;+0.002;-0.002;-0.002
1637978283.449379;+0.003;-0.002;-0.002
1637978283.669357;+0.003;-0.001;-0.002
1637978283.889388;+0.003;-0.003;-0.002
1637978284.109419;+0.002;-0.002;-0.001
1637978284.329369;+0.002;-0.002;-0.002
1637978284.548433;+0.003;-0.002;-0.002
1637978284.76854;+0.003;-0.001;-0.001
1637978284.988195;+0.003;-0.001;-0.001
1637978285.198398;+0.002;-0.002;-0.001
1637978285.418381;+0.002;-0.002;-0.002
1637978285.638404;+0.002;-0.002;-0.002
1637978285.858512;+0.002;-0.002;-0.002
1637978286.078424;+0.003;-0.002;-0.001
1637978286.298408;+0.003;-0.003;-0.002
1637978286.518424;+0.003;-0.002;-0.002
1637978286.738414;+0.002;-0.002;-0.002
1637978286.958389;+0.002;-0.002;-0.002
1637978287.178397;+0.003;-0.002;-0.002
1637978287.398391;+0.003;-0.002;-0.003
1637978287.618507;+0.002;-0.003;-0.002
1637978287.838462;+0.003;-0.002;-0.002
1637978288.058416;+0.002;-0.002;-0.003
1637978288.278448;+0.002;-0.002;-0.001
1637978288.498404;+0.001;-0.001;-0.002
1637978288.718428;+0.002;-0.002;-0.001
1637978288.938036;+0.003;-0.002;-0.001
1637978289.157987;+0.003;-0.002;-0.002
1637978289.378378;+0.002;-0.002;-0.001
1637978289.598408;+0.002;-0.001;-0.002
1637978289.818492;+0.003;-0.002;-0.003
1637978290.038403;+0.002;-0.003;-0.002
1637978290.258583;+0.002;-0.002;-0.002
1637978290.47841;+0.002;-0.002;-0.002
1637978290.698545;+0.002;-0.001;-0.002
1637978290.918222;+0.002;-0.002;-0.002
1637978291.138387;+0.002;-0.001;-0.002
1637978291.358578;+0.003;-0.002;-0.002
1637978291.578333;+0.002;-0.001;-0.003
1637978291.798663;+0.002;-0.002;-0.002
1637978292.017458;+0.002;-0.002;-0.002
1637978292.237392;+0.002;-0.002;-0.001
1637978292.457373;+0.002;-0.002;-0.001
1637978292.677289;+0.001;-0.002;-0.003
1637978292.897419;+0.003;-0.002;-0.002
1637978293.117071;+0.003;-0.003;-0.002
1637978293.327103;+0.002;-0.002;-0.002
1637978293.547476;+0.003;-0.002;-0.002
1637978293.76742;+0.002;-0.002;-0.002
1637978293.987563;+0.003;-0.002;-0.002
1637978294.20698;+0.002;-0.002;-0.002
1637978294.427336;+0.003;-0.002;-0.002
1637978294.647414;+0.001;-0.002;-0.002
1637978294.867452;+0.003;-0.001;-0.003
1637978295.087028;+0.003;-0.001;-0.003
1637978295.307073;+0.002;-0.001;-0.002
1637978295.527327;+0.004;-0.001;-0.001
1637978295.747338;+0.003;-0.002;-0.001
1637978295.967399;+0.001;-0.001;-0.002
1637978296.187646;+0.001;-0.001;-0.002
1637978296.407388;+0.003;-0.002;-0.002
1637978296.627276;+0.002;-0.002;-0.002
1637978296.847397;+0.002;-0.001;-0.002
1637978297.067428;+0.002;-0.001;-0.002
1637978297.287443;+0.002;-0.002;-0.002
1637978297.507274;+0.002;-0.001;-0.002
1637978297.727269;+0.002;-0.002;-0.001
1637978297.947327;+0.002;-0.001;-0.002
1637978298.167329;+0.002;-0.001;-0.002
1637978298.387429;+0.002;-0.002;-0.001
1637978298.607429;+0.003;-0.002;-0.002
1637978298.827349;+0.002;-0.002;-0.001
1637978299.047113;+0.003;-0.001;-0.002
1637978299.266994;+0.002;-0.001;-0.002
1637978299.486372;+0.002;-0.002;-0.002
1637978299.706343;+0.003;-0.002;-0.001
1637978299.926339;+0.002;-0.002;-0.001
1637978300.146408;+0.003;-0.002;-0.001
1637978300.366546;+0.002;-0.002;-0.002
1637978300.586346;+0.002;-0.002;-0.002
1637978300.806262;+0.002;-0.003;-0.002
1637978301.02634;+0.003;-0.001;-0.002
1637978301.24607;+0.002;-0.002;-0.002
1637978301.466364;+0.002;-0.002;-0.002
1637978301.686297;+0.002;-0.002;-0.001
1637978301.906392;+0.002;-0.002;-0.001
1637978302.12633;+0.003;-0.002;-0.001
1637978302.346266;+0.003;-0.002;-0.001
1637978302.566275;+0.002;-0.002;-0.002
1637978302.786248;+0.002;-0.002;-0.002
1637978303.006401;+0.002;-0.002;-0.002
1637978303.226306;+0.003;-0.002;-0.002
1637978303.446283;+0.003;-0.001;-0.003
1637978303.666256;+0.002;-0.002;-0.002
1637978303.88635;+0.002;-0.001;-0.002
1637978304.106282;+0.003;-0.003;-0.002
1637978304.326042;+0.003;-0.001;-0.003
1637978304.546037;+0.002;-0.001;-0.001
1637978304.766422;+0.001;-0.002;-0.001
1637978304.98639;+0.002;-0.001;-0.002
1637978305.206166;+0.003;-0.001;-0.002
1637978305.426252;+0.002;-0.001;-0.002
1637978305.646228;+0.002;-0.001;-0.002
1637978305.866413;+0.002;-0.003;-0.001
1637978306.086332;+0.003;-0.002;-0.002
1637978306.306299;+0.003;-0.002;-0.002
1637978306.526375;+0.003;-0.001;-0.002
1637978306.746339;+0.002;-0.002;-0.002
1637978306.965428;+0.002;-0.001;-0.002
1637978307.18529;+0.003;-0.002;-0.002
1637978307.405061;+0.003;-0.002;-0.001
1637978307.62528;+0.003;-0.002;-0.001
1637978307.845229;+0.003;-0.002;-0.002
1637978308.065297;+0.002;-0.002;-0.002
1637978308.285247;+0.002;-0.001;-0.002
1637978308.505385;+0.003;-0.001;-0.002
1637978308.725249;+0.002;-0.002;-0.002
1637978308.945294;+0.003;-0.002;-0.002
1637978309.164952;+0.003;-0.002;-0.001
1637978309.374988;+0.003;-0.003;-0.002
1637978309.595286;+0.003;-0.002;-0.002
1637978309.815253;+0.002;-0.002;-0.002
1637978310.035401;+0.003;-0.001;-0.002
1637978310.255208;+0.002;-0.001;-0.001
1637978310.475223;+0.002;-0.002;-0.002
1637978310.695267;+0.002;-0.002;-0.003
1637978310.915238;+0.002;-0.002;-0.001
1637978311.13537;+0.003;-0.001;-0.002
1637978311.355275;+0.003;-0.001;-0.001
1637978311.575306;+0.002;-0.002;-0.002
1637978311.795334;+0.002;-0.002;-0.001
1637978312.015364;+0.002;-0.002;-0.001
1637978312.23536;+0.002;-0.001;-0.002
1637978312.455301;+0.003;-0.002;-0.002
1637978312.67528;+0.002;-0.002;-0.002
